0;1;2;3;filename;category
1;1;Henry Ford (July 30, 1863 - April 7, 1947) was the founder of the Henry Ford Motor Company which later became Cadillac and Ford Motor Company.;;nr_1;Career & Professional Life
2;1;Henry Ford, with eleven other investors and $28,000 in capital, incorporated the Ford Motor Company in 1903.;CONTROL;nr_1;Career & Professional Life
3;1;On January 1, 1919, after unsuccessfully seeking a seat in the United States Senate, [1] Henry Ford turned the presidency of Ford Motor Company over to his son Edsel, although still maintaining a firm hand in its management, few company decisions under Edsel's presidency were made without approval by Henry, and those few that were, Henry often reversed.;;nr_1;Personal Life & Relationships
4;1;Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.;;nr_1;Personal Life & Relationships
5;1;After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.;;nr_1;Personal Life & Relationships
5;4;With his interest in race cars, he formed a second company, the Henry Ford Company.;CONTROL;nr_1;Career & Professional Life
5;5;During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.;;nr_1;Personal Life & Relationships
5;6;Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.;;nr_1;Career & Professional Life
6;1;In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.;;nr_1;Personal Life & Relationships
6;2;These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.;;nr_1;Miscellaneous Trivia
7;1;Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.;CONTROL;nr_1;Birth & Family Background
8;1;In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.;;nr_1;Political & Controversy
8;3;There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.;;nr_1;Political & Controversy
8;4;This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.;;nr_1;Personal Life & Relationships
9;3;Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H. Wills.;;nr_1;Miscellaneous Trivia
10;2;Henry Ford advocated long-time associate Harry Bennett to take the spot.;;nr_1;Miscellaneous Trivia
10;3;Edsel's widow Eleanor, who had inherited Edsel's voting stock, wanted her son Henry Ford II to take over the position.;;nr_1;Personal Life & Relationships
11;3;In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.;CONTROL;nr_1;Miscellaneous Trivia
12;1;"Alexander Rae Baldwin III (born April 3, 1958, in Massapequa, Long Island, New York, USA) is an American actor who is the oldest and best known of the ""Baldwin brothers"", with brothers Daniel, Stephen and William.";;nr_1;Birth & Family Background
12;2;He is of three quarters Irish and one quarter French descent.;;nr_1;Birth & Family Background
