,embed_model,cls,accuracy,precision,recall,f1
0,resnet50,dt,0.5154171704957679,0.5244716561574616,0.5154171704957679,0.5195416239309488
1,resnet50,logistic,0.7103990326481258,0.7167694839093146,0.7103990326481258,0.7118943067368457
2,resnet50,nb,0.5837363966142685,0.647303098489607,0.5837363966142685,0.5964311585159328
3,resnet50,knn,0.7536275695284159,0.7988999819767794,0.7536275695284159,0.7562835527010179
4,resnet50,softmax,0.7633010882708585,0.7597776773273278,0.7626964933494559,0.7600935041651906
5,resnet50,mlp,0.8050181378476421,0.8014129380838381,0.8041112454655381,0.7971018978188497
6,clip,dt,0.3893591293833132,0.40852471912917854,0.3893591293833132,0.3977057432645472
7,clip,logistic,0.56590084643289,0.5533595156267318,0.56590084643289,0.5529191810363429
8,clip,nb,0.21130592503022974,0.5531737235308952,0.21130592503022974,0.20355693415431977
9,clip,knn,0.5299274486094316,0.506842390870141,0.5299274486094316,0.5001398576924714
10,clip,softmax,0.6145707376058042,0.5778761539668421,0.6133615477629988,0.5801471995782556
11,clip,mlp,0.6333131801692866,0.5852138124150751,0.6154776299879081,0.5862227706338762
12,vit,dt,0.3518742442563482,0.3577372451618282,0.3518742442563482,0.3545549843311494
13,vit,logistic,0.5003022974607013,0.5096355419684329,0.5003022974607013,0.501411466657576
14,vit,nb,0.2288391777509069,0.4998051115323551,0.2288391777509069,0.23441822239600038
15,vit,knn,0.5081620314389359,0.47251581600015274,0.5081620314389359,0.47703381134853573
16,vit,softmax,0.5891777509068924,0.5394721468027154,0.5798065296251511,0.5499132992073998
17,vit,mlp,0.6175937122128174,0.5590066065349757,0.5955259975816203,0.5620256645556594
