,embed_model,cls,accuracy,precision,recall,f1
0,bert,dt,0.4246575342465753,0.4200913242009132,0.4246575342465753,0.4143746664294609
1,bert,logistic,0.5068493150684932,0.5177978414279784,0.5068493150684932,0.4997215383428375
2,bert,nb,0.5616438356164384,0.5981607254774056,0.5616438356164384,0.5620277007815674
3,bert,knn,0.4931506849315068,0.5459730326411623,0.4931506849315068,0.4865238061671248
4,bert,softmax,0.6027397260273972,0.580669710806697,0.589041095890411,0.5721401885785448
5,bert,mlp,0.6575342465753424,0.5751649911864325,0.5342465753424658,0.543250949980155
6,roberta,dt,0.273972602739726,0.2736213558131367,0.273972602739726,0.2692960008028501
7,roberta,logistic,0.4383561643835616,0.38801369863013696,0.4383561643835616,0.38536321181573896
8,roberta,nb,0.3150684931506849,0.37169319505296433,0.3150684931506849,0.3134161347683802
9,roberta,knn,0.3424657534246575,0.35831497269853435,0.3424657534246575,0.34327475282350384
10,roberta,softmax,0.4383561643835616,0.27828104286345556,0.4246575342465753,0.3117837096395762
11,roberta,mlp,0.6301369863013698,0.5454990215264187,0.5753424657534246,0.5476842791911285
