analysis,eeg_type,model,rsa_rho,rsa_p,cca_corrs,test_mse,test_r2,test_rsa
image,cbramod,vit,0.019868083597431727,0.0,"[0.8229362843969251, 0.7438818773697142, 0.6654993235154028, 0.6449124105799637, 0.5856361866357103]",1.011661254873504,-0.0068557595897153455,0.13873476491733924
image,cbramod,clip,0.056209278044091,0.0,"[0.8783245464575337, 0.7974371476039418, 0.7252516174399377, 0.6643784535117017, 0.5998417249940396]",1.0107440289444765,-0.005961456145841575,0.17682513194204053
image,labram,vit,0.01243635448444677,0.0,"[0.4131455451374832, 0.6964164544602283, 0.6629379325239498, 0.5866853353024153, 0.4722858863714954]",1.019234676194388,-0.011168683679591587,0.08667918334892354
image,labram,clip,0.03279519160171595,0.0,"[0.8178736952152688, 0.7170504426757571, 0.6468010269888183, 0.49249749414951216, 0.47822702182621774]",1.0254708224028084,-0.017468635448404726,0.09620284162959396
image,ensemble,vit,0.021223924794797375,0.0,"[0.8316566043329661, 0.7657532635755033, 0.6919226909021703, 0.6655806825934321, 0.6200371432095123]",1.0110067015867186,-0.005448336882465008,0.13900299163582766
image,ensemble,clip,0.05898577170199892,0.0,"[0.8856216061934483, 0.8223962226738691, 0.7521396304338728, 0.6897017533960841, 0.6359121513370313]",1.0102649292249106,-0.004712106716584884,0.17572885521470127
text,cbramod,bert,0.05134579122668086,0.05214666357022913,"[0.9999999999999998, 0.9999999999999996, 0.9999999999999996, 0.9999999999999997, 0.9999999999999997]",0.8291611124177118,-0.12590546587039383,-0.04531024531024532
text,cbramod,roberta,0.10205546476759715,0.00011002945925452308,"[0.9999999999999998, 1.0, 0.9999999999999996, 1.0, 0.9999999999999998]",0.8365750565965964,-0.14084021175621297,0.18874458874458877
text,labram,bert,0.09324161251535554,0.0004127256473575003,"[0.9999999999999979, 0.9999999999999997, 0.9999999999999988, 0.9999999999999987, 0.9999999999999989]",0.9095003974215499,-0.3546908384372972,0.11486291486291489
text,labram,roberta,0.09721090955938641,0.0002306312814501534,"[0.999999999999998, 0.999999999999999, 0.9999999999999976, 0.9999999999999996, 0.9999999999999981]",0.9560691203566507,-0.4652343575919688,0.37316017316017325
text,ensemble,bert,0.04224483690068174,0.11018147874789468,"[0.9999999999999999, 0.9999999999999994, 1.0, 0.9999999999999999, 0.9999999999999999]",0.8051756114187407,-0.09044176597226787,0.01536796536796537
text,ensemble,roberta,0.02480413020098906,0.3484351834949224,"[0.9999999999999998, 0.9999999999999994, 1.0, 1.0, 0.9999999999999997]",0.8197905878629901,-0.11533934552555108,0.34220779220779224
