analysis,eeg_type,model,rsa_rho,rsa_p,cca_corrs,test_mse,test_r2,test_rsa
image,cbramod,vit,0.003118346652589021,2.756371438455434e-74,"[0.7965997642844576, 0.6052277559975519, 0.583125275220972, 0.5618573048757917, 0.5576722632239776]",0.9733057043918256,-0.001020340347680617,0.03306373665087054
image,cbramod,clip,0.008613172640338505,0.0,"[0.7742602378069556, 0.5661988501403783, 0.5427946730413127, 0.5211271490216287, 0.5097683159367988]",0.9737326151612106,-0.001464434403871,0.03266618775463057
image,labram,vit,0.0017778430435206214,2.5909813845455234e-25,"[0.6380281828409627, 0.5103277361790196, 0.4828929633463054, 0.4589414054069469, 0.45529214768078224]",0.9935971228240443,-0.0005910241160068847,0.01780853270642335
image,labram,clip,0.003941285404371238,1.597005881636766e-117,"[0.6023323406755029, 0.464518539982791, 0.43779669982773806, 0.4067963578344563, 0.395367349502907]",0.9945022059861628,-0.0015205436990483761,0.018453851496527562
image,ensemble,vit,0.0028335253460490175,1.1705438432838185e-61,"[0.8169901870360328, 0.6510498050227017, 0.6281811530694409, 0.6156796098683893, 0.5923930164431865]",0.9631704766709636,-0.0006588209797971511,0.0164236921808355
image,ensemble,clip,0.007467769194199302,0.0,"[0.7905923293209208, 0.6119828137912111, 0.5922343033148482, 0.5618229764587126, 0.546670632017619]",0.9634338454462201,-0.0009340957949759932,0.0242003896503931
text,cbramod,bert,0.014125415003616434,2.899881088276233e-22,"[0.9437094585773091, 0.9186545123278476, 0.9120929854005213, 0.9063363186722924, 0.8986252748412872]",1.1199335144255729,-0.050399730544617105,0.05321512049098149
text,cbramod,roberta,0.0283773502167503,1.1457798866391278e-84,"[0.9437085995991141, 0.9186445270344319, 0.9121368106497407, 0.90629112317579, 0.8987367572152261]",1.1282555964610728,-0.058546938503748674,0.04581205794550457
text,labram,bert,0.03434538484033707,3.799440478148657e-123,"[0.8738369297240651, 0.7346893315547721, 0.6704926990689114, 0.6637754812537997, 0.6428610348186252]",1.185393031853662,-0.1407219004640744,0.13736961530708464
text,labram,roberta,0.03991499602742424,1.1829702397203325e-165,"[0.8738369775209716, 0.7346892924275802, 0.6704929526826678, 0.6637749834845242, 0.6428610930369764]",1.1911962209252278,-0.14627906632108084,0.14802207823532165
text,ensemble,bert,0.017833282132038622,1.6473649280295163e-34,"[0.9906019560868338, 0.9838825030855182, 0.9812252338647425, 0.9814252161735463, 0.9771539806225308]",1.0676334090008581,-0.006404050271132742,0.08018255133507182
text,ensemble,roberta,0.015859551894559745,1.2117774191065776e-27,"[0.9906027460781596, 0.9837897247401255, 0.9820117108842356, 0.981244189582281, 0.9766331305753345]",1.0651271173112156,-0.003948634441682964,0.04741597622462147
