analysis,eeg_type,model,spectrum_mass,nn_accuracy,procrustes_mse,cka
image,cbramod,vit,"0.6772,1.2306,1.6735,2.0894,2.4324",0.0006045949214026602,0.3682838811466846,0.02906937666954616
image,cbramod,clip,"0.7715,1.4074,1.9333,2.3747,2.7346",0.0006045949214026602,0.3595268504108696,0.053976912027458655
image,labram,vit,"0.1707,0.6557,1.0952,1.4394,1.6624",0.0007255139056831923,0.3822359485037845,0.020707084737575956
image,labram,clip,"0.6689,1.1831,1.6014,1.8440,2.0727",0.0005441354292623942,0.22199819781243763,0.037530810299540716
image,ensemble,vit,"0.6917,1.2780,1.7568,2.1998,2.5842",0.0003022974607013301,0.41779010880942674,0.032908022237226525
image,ensemble,clip,"0.7843,1.4607,2.0264,2.5021,2.9064",0.0008464328899637243,0.5673698850443973,0.06075194464674722
text,cbramod,bert-base-uncased,"1.0000,2.0000,3.0000,4.0000,5.0000",0.9444444444444444,2.029334070609873,0.22836835609386577
text,cbramod,roberta-base,"1.0000,2.0000,3.0000,4.0000,5.0000",1.0,3.109288505655029,0.329287058620196
text,labram,bert-base-uncased,"1.0000,2.0000,3.0000,4.0000,5.0000",0.9444444444444444,5.533719425266791,0.2058553908578221
text,labram,roberta-base,"1.0000,2.0000,3.0000,4.0000,5.0000",0.9444444444444444,7.30779402192,0.27177349052254773
text,ensemble,bert-base-uncased,"1.0000,2.0000,3.0000,4.0000,5.0000",0.9629629629629629,1.384165975363081,0.23509002779046542
text,ensemble,roberta-base,"1.0000,2.0000,3.0000,4.0000,5.0000",0.9814814814814815,1.9341847310024136,0.3315125455298654
