analysis,eeg_type,model,spectrum_mass,nn_accuracy,procrustes_mse,cka
image,cbramod,vit,"0.3907,0.7691,1.1390,1.5010,1.8577",0.00036275695284159615,0.01169915140846144,0.010661747448209167
image,cbramod,clip,"0.3037,0.5938,0.8755,1.1533,1.4228",0.0002418379685610641,0.02050186256737801,0.0064340820700172635
image,labram,vit,"0.1997,0.3943,0.5876,0.7789,0.9650",0.0002418379685610641,0.02424069010143655,0.007813807304850727
image,labram,clip,"0.1547,0.3094,0.4600,0.6070,0.7526",0.0010882708585247885,0.03658356393289065,0.004809134382552537
image,ensemble,vit,"0.4163,0.8153,1.2064,1.5923,1.9675",0.00036275695284159615,0.014314794781430551,0.012325615852858062
image,ensemble,clip,"0.3211,0.6349,0.9445,1.2497,1.5475",0.0007255139056831923,0.017622772523660422,0.007760231396003595
text,cbramod,bert-base-uncased,"0.8139,1.6122,2.3998,3.1556,3.9120",0.03292181069958848,5.262677263146882,0.014860398850338907
text,cbramod,roberta-base,"0.8139,1.6122,2.3998,3.1563,3.9120",0.029835390946502057,6.9757202906754925,0.022061053818364554
text,labram,bert-base-uncased,"0.3934,0.7670,1.1245,1.4731,1.8012",0.013374485596707819,5.169608060520145,0.012409331578296361
text,labram,roberta-base,"0.3934,0.7670,1.1245,1.4731,1.8012",0.01131687242798354,6.203481781564333,0.018028456311017706
text,ensemble,bert-base-uncased,"0.9469,1.8877,2.8230,3.7480,4.6666",0.04526748971193416,5.783371877899101,0.01745837894401376
text,ensemble,roberta-base,"0.9469,1.8882,2.8230,3.7474,4.6720",0.04938271604938271,6.665357502418132,0.025772712013473437
