analysis,eeg_type,model,spectrum_mass,nn_accuracy,recall_at_5,procrustes_mse,cka
image,cbramod,vit,"0.6848,1.2491,1.7058,2.1358,2.4974",0.0017533252720677145,0.009492140266021767,0.3813142423844528,0.02906937666954616
image,cbramod,clip,"0.7759,1.4193,1.9544,2.4072,2.7806",0.003204353083434099,0.017775090689238212,0.36983464959629064,0.053976912027458655
image,labram,vit,"0.2996,0.8297,1.2465,1.5539,1.7904",0.001995163240628779,0.010096735187424427,0.379595016794315,0.020707084737575956
image,labram,clip,"0.6337,1.1852,1.6115,1.8640,2.1018",0.0019347037484885126,0.009431680773881498,0.25047899992615574,0.037530810299540716
image,ensemble,vit,"0.7000,1.2982,1.7921,2.2506,2.6542",0.0019347037484885126,0.009431680773881498,0.43776062238838637,0.032908022237226525
image,ensemble,clip,"0.7893,1.4733,2.0491,2.5373,2.9566",0.004897218863361548,0.02430471584038694,0.4522928109906733,0.06075194464674722
text,cbramod,bert-base-uncased,"1.0000,2.0000,3.0000,4.0000,5.0000",0.1090909090909091,0.4618181818181818,14.78779551896142,0.22836835609386577
text,cbramod,roberta-base,"1.0000,2.0000,3.0000,4.0000,5.0000",0.13272727272727272,0.5563636363636364,10.847020080449107,0.329287058620196
text,labram,bert-base-uncased,"1.0000,2.0000,3.0000,4.0000,5.0000",0.09272727272727273,0.4818181818181818,10.331460017420275,0.2058553908578221
text,labram,roberta-base,"1.0000,2.0000,3.0000,4.0000,5.0000",0.13272727272727272,0.5181818181818182,9.097029635463494,0.27177349052254773
text,ensemble,bert-base-uncased,"1.0000,2.0000,3.0000,4.0000,5.0000",0.12727272727272726,0.5545454545454546,15.630440563718844,0.23509002779046542
text,ensemble,roberta-base,"1.0000,2.0000,3.0000,4.0000,5.0000",0.09454545454545454,0.5054545454545455,13.456120455887604,0.3315125455298654
