analysis,eeg_type,model,spectrum_mass,nn_accuracy,recall_at_5,procrustes_mse,cka
image,cbramod,vit,"0.7118,1.1313,1.5308,1.9106,2.2819",0.0024183796856106403,0.012575574365175332,0.021268265329741336,0.010633946872076545
image,cbramod,clip,"0.6562,1.0176,1.3668,1.6868,1.9972",0.003143893591293833,0.017170495767835553,0.04300531210400203,0.010321506047484361
image,labram,vit,"0.3756,0.6868,0.9607,1.2136,1.4571",0.0021765417170495766,0.01064087061668682,0.03152114745279406,0.00925281670263115
image,labram,clip,"0.3650,0.6280,0.8459,1.0395,1.2292",0.0016928657799274486,0.010761789600967353,0.04986868912797472,0.008244458830169032
image,ensemble,vit,"0.7105,1.1850,1.6439,2.0699,2.4875",0.002176541717049577,0.012696493349455865,0.01490482609433918,0.010648027979907307
image,ensemble,clip,"0.5276,0.9098,1.2818,1.6375,1.9883",0.0018137847642079805,0.010761789600967351,0.02876466276216074,0.00643784129211484
text,cbramod,bert-base-uncased,"0.6935,1.1189,1.5267,1.9023,2.2606",0.008580746324693203,0.015788838257054308,0.30779694852010586,0.013435152337942034
text,cbramod,roberta-base,"0.6935,1.1188,1.5267,1.9024,2.2606",0.009438526490919396,0.0168178505436583,0.22843549419643697,0.018569300800359866
text,labram,bert-base-uncased,"0.5911,0.9878,1.2473,1.4931,1.7199",0.006521249420269583,0.013728752420144435,0.3159016497175324,0.015814786314301166
text,labram,roberta-base,"0.6451,1.0413,1.2977,1.5395,1.7639",0.005491206501814648,0.011154822988979601,0.24667573720948893,0.020919868919998433
