analysis,eeg_type,model,rsa_rho,rsa_p,cca_corrs
image,cbramod,vit,0.019868083597431852,0.0,"[0.8229362843969442, 0.7438818773697118, 0.6654993235153092, 0.6449124105799743, 0.5856361866356815]"
image,cbramod,clip,0.05620927804409087,0.0,"[0.8783245464575364, 0.7974371476039347, 0.7252516174399443, 0.6643784535117256, 0.5998417249940734]"
image,labram,vit,0.012436354484446379,0.0,"[0.4131455451503077, 0.6964164544792135, 0.6629379324995962, 0.5866853352799285, 0.4722858863714055]"
image,labram,clip,0.03279519160171564,0.0,"[0.8178736952152685, 0.7170504426757576, 0.6468010269888177, 0.49249749414951244, 0.47822702182621996]"
image,ensemble,vit,0.021223924794797438,0.0,"[0.8316566043329616, 0.7657532635755472, 0.6919226909022412, 0.6655806825932885, 0.6200371432095749]"
image,ensemble,clip,0.05898577170199867,0.0,"[0.8856216061934434, 0.8223962226738777, 0.7521396304338459, 0.6897017533961463, 0.6359121513369698]"
text,cbramod,bert,0.08444035641616802,8.346536795564161e-94,"[0.9999999999999438, 0.9999999999999766, 0.9999999999999323, 0.9999999999999815, 0.9999999999999415]"
text,cbramod,roberta,0.0864910364765494,2.4418551577464765e-98,"[0.9999999999999439, 0.9999999999999724, 0.9999999999999416, 0.9999999999995447, 0.9999999999997783]"
text,labram,bert,0.09054804876224243,1.2420437109524564e-107,"[0.9999999844504839, 0.9999999528559959, 0.9999950773728076, 0.9999989604059336, 0.9999993411695256]"
text,labram,roberta,0.09228537605170255,9.605306361552429e-112,"[0.9999998721569651, 0.9999991652393877, 0.9999999999128698, 0.9999995919387538, 0.9999999590629415]"
text,ensemble,bert,0.09703232550681544,2.2090151932126044e-123,"[0.999999999999984, 0.9999999999999902, 0.9999999999999887, 0.9999999999999859, 0.999999999999989]"
text,ensemble,roberta,0.10087667779157426,3.0508002992285617e-133,"[0.9999999999999926, 0.9999999999999889, 0.9999999999999851, 0.9999999999999921, 0.9999999999999875]"
