analysis,eeg_type,model,rsa_rho,rsa_p,cca_corrs,test_mse,test_r2,test_rsa
image,cbramod,vit,0.0001343465622257671,0.11613413035700812,"[0.39545420149167365, 0.39172387257865204, 0.3877880956900085, 0.3903291593321051, 0.38598106699023094]",1.0012444964011422,-0.0014856183187738103,0.007324259826686522
image,cbramod,clip,-6.898809321011053e-05,0.41976499095734143,"[0.36237810288820366, 0.3571354950225178, 0.35484864173948877, 0.3533829690448918, 0.35133893047387843]",0.999251140088316,0.0005143395356082555,0.006312862044618322
image,cbramod,resnet,-6.108894341925032e-05,0.47495084687627565,"[0.4257993742157115, 0.4208128915556707, 0.41956212681712035, 0.41734476608445215, 0.41376199165591065]",0.9999839624681709,-0.00021876854437607432,0.009545543374156105
image,labram,vit,0.00012241572450165313,0.1522367203846742,"[0.31711223867658794, 0.31362623206906914, 0.3115234954129568, 0.3106773462274384, 0.3089099780584981]",1.002995936783875,-0.003941692370319526,0.009598450509525052
image,labram,clip,-7.058116351721714e-05,0.40911031566313405,"[0.2812606009418997, 0.27905785261551713, 0.27778222768622324, 0.2754207376065862, 0.27234571517003103]",0.9991904031660974,-0.0001302564890199942,0.007353864546039114
image,labram,resnet,-6.984680174039874e-05,0.41400169915465945,"[0.34818385035441085, 0.3427183719871915, 0.34223165128170746, 0.3398327041023298, 0.3368043196484223]",0.9990914441829637,-2.3830489456328485e-05,0.013467868195367032
image,ensemble,vit,-4.58250686561914e-05,0.5920048569025946,"[0.4184644184824469, 0.41843662015642896, 0.4165952326044439, 0.4128135219714323, 0.41134948135946936]",1.0005554642323766,-0.00016906895005325913,0.007260057517796976
image,ensemble,clip,7.223804574580825e-05,0.3982013776866278,"[0.38659691328540746, 0.3823985684304041, 0.37975184937573575, 0.37593197803575573, 0.3746180490566516]",1.0001760569959584,0.0002121288826318353,0.006037317931393887
image,ensemble,resnet,1.3136866379458502e-05,0.877895030176631,"[0.4518137726497703, 0.44883061760888254, 0.44560398596816747, 0.44435789422039546, 0.442895214335161]",1.0005419593850526,-0.00015371147439766295,0.010036936104190023
text,cbramod,bert,0.07010353349027323,0.007981235239245165,"[0.9999999999999994, 0.9999999999999998, 0.9999999999999996, 0.9999999999999992, 0.9999999999999997]",0.9594295229729346,-0.05933589863120825,0.006709956709956711
text,cbramod,roberta,-0.0005683154202180238,0.9828629415730006,"[1.0, 0.9999999999999997, 0.9999999999999998, 0.9999999999999993, 0.9999999999999999]",0.9539943981824828,-0.04739163456525286,0.05425685425685427
text,labram,bert,0.0030450412288717337,0.9083744730138053,"[0.9999999999999999, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 1.0]",1.0336734901335,-0.11658424582113877,0.2517316017316018
text,labram,roberta,-0.042496520613944454,0.10807557835574252,"[0.9999999999999998, 0.9999999999999993, 1.0, 0.9999999999999998, 0.9999999999999996]",1.0564155442189764,-0.14687431468040343,-0.10584415584415587
text,ensemble,bert,-0.007574729710283626,0.7746523171618005,"[0.9999999999999999, 1.0, 1.0, 0.9999999999999997, 0.9999999999999999]",1.003748335025166,-0.07102216064179273,-0.22409812409812413
text,ensemble,roberta,-0.024592971414938318,0.35255526361492273,"[0.9999999999999998, 1.0, 0.9999999999999998, 0.9999999999999997, 1.0]",1.0310244532897412,-0.09813696352675506,0.05238095238095239
