analysis,eeg_type,model,rsa_rho,rsa_p,cca_corrs,test_mse,test_r2,test_rsa
image,cbramod,vit,0.00016563818441414066,0.3327668038768614,"[0.5460440044759409, 0.5437282315029194, 0.5414646088283294, 0.5381556898506206, 0.5366453335622939]",0.9976241186950726,0.0003275881958737544,0.016591365015605954
image,cbramod,clip,-3.823235677172806e-05,0.8230992079450592,"[0.5019284076563136, 0.4962526733524669, 0.4898917371696517, 0.4881328346253148, 0.48336457095914753]",0.9976806866664518,0.00027006384206088344,0.012572683093731581
image,cbramod,resnet,0.0003019030878573428,0.07750429199365978,"[0.5543257599897415, 0.5525404004274836, 0.5513703600120653, 0.5491625923043515, 0.5447860264530363]",0.9983207249585621,-0.0003703089692198441,0.019327471154329992
image,labram,vit,-0.00010110422514483061,0.5543872272333873,"[0.44429146411120507, 0.44172832756759917, 0.43951199775043737, 0.4370252720157617, 0.43316403641870255]",0.9958297883126335,0.0013445488207141614,0.022250383910417056
image,labram,clip,-0.00016611539486438508,0.3313758235593969,"[0.39430663656969794, 0.38597514607249717, 0.3820363058860724, 0.37945198920466533, 0.37793164649494027]",0.9955732807809938,0.0016048894542842085,0.014207639633832918
image,labram,resnet,-0.0002286406602583706,0.181236403057916,"[0.4547408956940053, 0.4523307388685104, 0.4476050433171466, 0.44579271523862857, 0.44254087754749805]",0.997428074011017,-0.00025402498692871756,0.02455556584938033
image,ensemble,vit,-0.0002677977781125549,0.11736595977110566,"[0.5816271027167955, 0.5811717698962389, 0.5771941655464943, 0.5747963210576261, 0.5730128732698303]",0.9987843481314493,0.00016564515175453043,0.015441501364872755
image,ensemble,clip,-6.044030961272237e-05,0.7237737190743744,"[0.5339196567389588, 0.5328543230798802, 0.5257870603988476, 0.5242339954026116, 0.5223365639111494]",0.9987524317674372,0.00019790176743951518,0.010903685200536768
image,ensemble,resnet,0.0001382297732273673,0.41892512659684933,"[0.5943695205672685, 0.5909801378053932, 0.5851484805119784, 0.5858029183857568, 0.5826123300263015]",0.9993523377428292,-0.00040187531186133845,0.01955270914835442
text,cbramod,bert,0.0007785119937555041,0.59278767413534,"[0.9147929561717261, 0.9059084884833299, 0.9009918065136843, 0.8957191728547621, 0.8932079238971917]",1.0222260410380304,-0.0289799756198289,0.021478445944135782
text,cbramod,roberta,0.0012165513647557514,0.4033163235048539,"[0.9147847834918968, 0.9059255447760667, 0.9009925054333826, 0.8957396802042429, 0.8923530716825628]",1.0301284501933283,-0.036967301572467706,0.018306573247947322
text,labram,bert,-0.0015148668660824487,0.29804176976580615,"[0.6467326371089004, 0.6309855990006099, 0.6247122989987819, 0.6199602036185153, 0.5978058485491174]",1.0687001882725935,-0.0763370182149875,0.021723048709316874
text,labram,roberta,-0.00030353502310446546,0.8348275780119541,"[0.6467328879960925, 0.6309858250873285, 0.6247026831873973, 0.6199701936190541, 0.5978054495133135]",1.0764190207666717,-0.0841362289769478,0.02207137667464728
text,ensemble,bert,0.0008903802743573172,0.5407700622807949,"[0.981588207255679, 0.9795946712845061, 0.9781706044403599, 0.9751891847912082, 0.9728588607889503]",1.0032736156664919,-0.009631688162994615,0.004432083683473544
text,ensemble,roberta,0.0014494844929116228,0.3193826770432798,"[0.9815320284416058, 0.9796561539922494, 0.9790339484865944, 0.9744076639266392, 0.9720566422008605]",0.9978558661688831,-0.004163251336199354,0.01628343894709199
