analysis,eeg_type,model,spectrum_mass,nn_accuracy,recall_at_5,procrustes_mse,cka
image,cbramod,vit,"0.1934,0.3836,0.5719,0.7588,0.9437",0.0003022974607013301,0.0018137847642079805,1.284457206568425,0.030856752317674714
image,cbramod,clip,"0.1590,0.3154,0.4691,0.6208,0.7712",0.00048367593712212814,0.0018137847642079805,1.081176839631833,0.015962746214963335
image,cbramod,resnet,"0.2219,0.4414,0.6584,0.8732,1.0862",0.00042321644498186214,0.0018742442563482466,1.000375830942351,0.007489065073846905
image,labram,vit,"0.1279,0.2528,0.3756,0.4966,0.6163",0.00018137847642079805,0.0012091898428053204,1.286162510436578,0.01821014773971796
image,labram,clip,"0.0965,0.1908,0.2838,0.3748,0.4649",0.00018137847642079805,0.0013905683192261184,1.0736661849555151,0.009204120514094326
image,labram,resnet,"0.1510,0.2982,0.4443,0.5886,0.7304",0.00012091898428053204,0.0018742442563482466,1.000103971677632,0.0042091778801876725
image,ensemble,vit,"0.2198,0.4359,0.6507,0.8640,1.0754",0.00042321644498186214,0.0012091898428053202,1.3340446872039526,0.035590700640655254
image,ensemble,clip,"0.1848,0.3662,0.5446,0.7219,0.8972",0.00048367593712212814,0.0016324062877871828,1.070999345255787,0.018434222027187013
image,ensemble,resnet,"0.2502,0.4990,0.7451,0.9899,1.2324",0.0003022974607013301,0.0011487303506650544,1.000538806772497,0.008548851051566867
text,cbramod,bert-base-uncased,"1.0000,2.0000,3.0000,4.0000,5.0000",0.01751918158567775,0.08427109974424553,2.4270486504422415,0.2088931877877841
text,cbramod,roberta-base,"1.0000,2.0000,3.0000,4.0000,5.0000",0.01453537936913896,0.08716965046888323,2.841398890434833,0.2891248386756478
text,labram,bert-base-uncased,"1.0000,2.0000,3.0000,4.0000,5.0000",0.014578005115089516,0.05822676896845695,1.7246246850540108,0.16119400778002446
text,labram,roberta-base,"1.0000,2.0000,3.0000,4.0000,5.0000",0.02028985507246377,0.07566069906223358,1.7277269422601265,0.21948950552199897
text,ensemble,bert-base-uncased,"1.0000,2.0000,3.0000,4.0000,5.0000",0.034995737425404946,0.10179028132992327,2.3267960812366493,0.217612211242706
text,ensemble,roberta-base,"1.0000,2.0000,3.0000,4.0000,5.0000",0.023273657289002558,0.07271952259164535,2.8394425513770702,0.302032295707238
