analysis,eeg_type,model,spectrum_mass,nn_accuracy,recall_at_5,procrustes_mse,cka
image,cbramod,vit,"0.3636,0.7240,1.0818,1.4369,1.7882",0.002297460701330109,0.007376058041112454,1.0171649108210326,0.04876995200306785
image,cbramod,clip,"0.3029,0.6012,0.8970,1.1888,1.4782",0.0019347037484885126,0.009189842805320435,1.0256205248170573,0.029335031332689752
image,cbramod,resnet,"0.3770,0.7497,1.1207,1.4883,1.8527",0.0016928657799274486,0.008585247883917773,0.9977365635975419,0.014531720810547407
image,labram,vit,"0.2481,0.4907,0.7292,0.9643,1.1958",0.0014510278113663844,0.00894800483675937,1.0089339574313196,0.028438375581500697
image,labram,clip,"0.1931,0.3795,0.5631,0.7426,0.9200",0.0016928657799274486,0.007376058041112454,1.023306571531192,0.01714208400710343
image,labram,resnet,"0.2601,0.5144,0.7642,1.0102,1.2541",0.0008464328899637242,0.00773881499395405,0.9951743602507477,0.008397091332750978
image,ensemble,vit,"0.4140,0.8240,1.2308,1.6349,2.0360",0.002297460701330109,0.009673518742442563,1.0166586279251617,0.05558409986222251
image,ensemble,clip,"0.3527,0.6981,1.0399,1.3801,1.7176",0.001813784764207981,0.009068923821039904,1.050946247662342,0.03341813817095511
image,ensemble,resnet,"0.4280,0.8517,1.2722,1.6889,2.1037",0.0019347037484885126,0.00761789600967352,0.9944815338351549,0.016181861380049723
text,cbramod,bert-base-uncased,"0.6961,1.1671,1.5907,1.9929,2.3678",0.007036859811983304,0.014587268751978444,4.7626687969260064e-11,0.01341803648887134
text,cbramod,roberta-base,"0.6957,1.1240,1.5346,1.9128,2.2744",0.008752125678192566,0.017333019236007333,1.2336371770213243e-10,0.0185608408023299
text,labram,bert-base-uncased,"0.5910,0.9939,1.2755,1.5257,1.7598",0.004805247388452507,0.012699887366662005,0.051594027874884596,0.015790555801182424
text,labram,roberta-base,"0.6462,1.0484,1.3261,1.5724,1.8050",0.005148742261059048,0.01184210720043581,0.03960887939381073,0.02092087604478463
text,ensemble,bert-base-uncased,"0.7479,1.2820,1.7927,2.2808,2.7339",0.010297631755239659,0.019736011013037496,5.6559631152425576e-11,0.016697694015016352
text,ensemble,roberta-base,"0.7475,1.2793,1.7815,2.2376,2.6786",0.012013928253299864,0.021280780924476772,1.4706429604730055e-10,0.02220308496555518
