analysis,eeg_type,model,rsa_rho,rsa_p,cca_corrs
image,cbramod,vit,0.00022589169960487082,0.18654021174036345,"[0.5456978304722516, 0.5443713661937433, 0.5430894783711487, 0.5395919572995119, 0.538129169598027]"
image,cbramod,clip,6.221575895742737e-05,0.7160061452211446,"[0.496346088194428, 0.4927912279932123, 0.4887870516807836, 0.48654112686015216, 0.48482170840526534]"
image,cbramod,resnet,0.00025717975697528786,0.13262310990475656,"[0.5579194888218802, 0.5529182487947836, 0.5517264352828891, 0.5506179418561711, 0.5466879140473239]"
image,labram,vit,0.00012656449796876663,0.4592540676931576,"[0.44848358028729896, 0.43722532574057343, 0.43527074787213094, 0.43377415854894247, 0.43219353639152475]"
image,labram,clip,-6.620002676388845e-05,0.6986826848952317,"[0.3970750748278617, 0.3898631011023622, 0.38362608635677664, 0.3826798385913897, 0.38054759536348093]"
image,labram,resnet,3.5838457179331025e-05,0.8340091610066228,"[0.45965855091873287, 0.45014904989814924, 0.44824943231082914, 0.4455974205196777, 0.4433051468862094]"
image,ensemble,vit,-0.0002244741303241284,0.1893196646619672,"[0.583018032877654, 0.5803567043635419, 0.5789826220099984, 0.5763529165583808, 0.5749134999937939]"
image,ensemble,clip,-0.00010836924878553336,0.5262893932297268,"[0.5349201585562358, 0.5328298761297905, 0.5250654116912981, 0.5272965031082872, 0.5221936326244584]"
image,ensemble,resnet,-0.000204400639831941,0.23200254756223107,"[0.5931389353118168, 0.5886335404646691, 0.5874245966139471, 0.5823075139085533, 0.5839021710552705]"
text,cbramod,bert,0.0013821356647020359,0.3423858095044877,"[0.9110673128822149, 0.9067124966480571, 0.9021143194324356, 0.8972102369002338, 0.894247447266655]"
text,cbramod,roberta,0.0014544196546270598,0.3177377770602852,"[0.9110629398369925, 0.9067078725798146, 0.9021305879274002, 0.8971936840456396, 0.8942452265790483]"
text,labram,bert,-0.0004949405038365678,0.733856112371041,"[0.6550944822386011, 0.637627115817667, 0.6249046836528735, 0.6185933018232888, 0.6069216787877862]"
text,labram,roberta,-0.00047549663036020555,0.7439375116880302,"[0.6550939643986241, 0.6376276095151281, 0.6249050504817595, 0.61859444467148, 0.6069176042150844]"
text,ensemble,bert,0.0009744068295090983,0.5032587196070597,"[0.9837080014372935, 0.9799905324261857, 0.9795874392710727, 0.9761452445969918, 0.9744031386144154]"
text,ensemble,roberta,0.0029473139999558868,0.04290140408601699,"[0.9836604600424091, 0.9808057388093314, 0.9788227870683242, 0.9757863390085211, 0.9742113868018878]"
